benchmark_id,phase,domain,market_ticker,series_ticker,event_ticker,title,resolution,status,open_time,close_time,close_date,settlement_ts,volume,source_csv
economics_phase_i_013,phase_i,Economics,FED-24MAY-T4.25,KXFED,FED-24MAY,Will the upper bound of the federal funds rate be above 4.25% following the Fed's May meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-05-01T17:55:00Z,2024-05-01,2024-05-02T08:06:00.231823Z,132250,Research/EconomicsMarkets/markets.csv
economics_phase_i_014,phase_i,Economics,FED-24MAY-T4.75,KXFED,FED-24MAY,Will the upper bound of the federal funds rate be above 4.75% following the Fed's May meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-05-01T17:55:00Z,2024-05-01,2024-05-02T08:07:00.661979Z,114276,Research/EconomicsMarkets/markets.csv
economics_phase_i_015,phase_i,Economics,FED-24JUN-T4.50,KXFED,FED-24JUN,Will the upper bound of the federal funds rate be above 4.50% following the Fed's June meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-06-12T17:55:00Z,2024-06-12,2024-06-13T08:06:00.685245Z,93274,Research/EconomicsMarkets/markets.csv
economics_phase_i_016,phase_i,Economics,FED-24MAY-T5.00,KXFED,FED-24MAY,Will the upper bound of the federal funds rate be above 5.00% following the Fed's May meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-05-01T17:55:00Z,2024-05-01,2024-05-02T08:07:00.581421Z,81131,Research/EconomicsMarkets/markets.csv
economics_phase_i_017,phase_i,Economics,FED-24MAR-T5.50,KXFED,FED-24MAR,Will the upper bound of the federal funds rate be above 5.50% following the Fed's March meeting?,no,finalized,2023-07-06T14:00:00Z,2024-03-20T17:55:00Z,2024-03-20,2024-03-21T08:07:00.198789Z,78931,Research/EconomicsMarkets/markets.csv
economics_phase_i_018,phase_i,Economics,CPI-24APR-T0.3,KXCPI,CPI-24APR,Will CPI rise more than 0.3% in April 2024?,no,finalized,2024-03-13T14:00:00Z,2024-05-15T12:25:00Z,2024-05-15,2024-05-15T16:10:01.014363Z,74521,Research/EconomicsMarkets/markets.csv
economics_phase_i_019,phase_i,Economics,CPI-24MAY-T0.1,KXCPI,CPI-24MAY,Will CPI rise more than 0.1% in May 2024?,no,finalized,2024-04-11T14:00:00Z,2024-06-12T12:25:00Z,2024-06-12,2024-06-12T16:12:01.285774Z,71831,Research/EconomicsMarkets/markets.csv
economics_phase_i_020,phase_i,Economics,FED-24JUN-T4.75,KXFED,FED-24JUN,Will the upper bound of the federal funds rate be above 4.75% following the Fed's June meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-06-12T17:55:00Z,2024-06-12,2024-06-13T08:06:00.620316Z,68586,Research/EconomicsMarkets/markets.csv
economics_phase_i_021,phase_i,Economics,FED-24JUN-T5.00,KXFED,FED-24JUN,Will the upper bound of the federal funds rate be above 5.00% following the Fed's June meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-06-12T17:55:00Z,2024-06-12,2024-06-13T08:06:00.640174Z,67497,Research/EconomicsMarkets/markets.csv
economics_phase_i_022,phase_i,Economics,CPIYOY-24APR-T3.4,KXCPIYOY,CPIYOY-24APR,Will the rate of CPI inflation be above 3.4% for the year ending in April 2024?,no,finalized,2024-03-13T14:00:00Z,2024-05-15T12:25:00Z,2024-05-15,2024-05-15T16:11:01.220169Z,64392,Research/EconomicsMarkets/markets.csv
economics_phase_i_023,phase_i,Economics,FED-24MAY-T5.50,KXFED,FED-24MAY,Will the upper bound of the federal funds rate be above 5.50% following the Fed's May meeting?,no,finalized,2023-07-06T14:00:00Z,2024-05-01T17:55:00Z,2024-05-01,2024-05-02T08:07:00.626211Z,62082,Research/EconomicsMarkets/markets.csv
economics_phase_i_024,phase_i,Economics,FED-24JUN-T4.00,KXFED,FED-24JUN,Will the upper bound of the federal funds rate be above 4.00% following the Fed's June meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-06-12T17:55:00Z,2024-06-12,2024-06-13T08:06:00.659822Z,49404,Research/EconomicsMarkets/markets.csv
economics_phase_i_025,phase_i,Economics,FED-24MAR-T4.50,KXFED,FED-24MAR,Will the upper bound of the federal funds rate be above 4.50% following the Fed's March meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-03-20T17:55:00Z,2024-03-20,2024-03-21T08:07:00.773854Z,45898,Research/EconomicsMarkets/markets.csv
economics_phase_i_026,phase_i,Economics,PAYROLLS-24MAY-T200000,KXPAYROLLS,PAYROLLS-24MAY,Will above 200000 jobs be added in May 2024?,yes,finalized,2024-04-19T14:00:00Z,2024-06-07T12:25:00Z,2024-06-07,2024-06-07T16:07:01.062408Z,44953,Research/EconomicsMarkets/markets.csv
economics_phase_i_027,phase_i,Economics,CPI-24MAY-T0.2,KXCPI,CPI-24MAY,Will CPI rise more than 0.2% in May 2024?,no,finalized,2024-04-11T14:00:00Z,2024-06-12T12:25:00Z,2024-06-12,2024-06-12T16:15:01.035576Z,44949,Research/EconomicsMarkets/markets.csv
economics_phase_i_028,phase_i,Economics,CPI-24MAR-T0.2,KXCPI,CPI-24MAR,Will CPI rise more than 0.2% in March 2024?,yes,finalized,2024-02-13T13:00:00Z,2024-04-10T12:25:00Z,2024-04-10,2024-04-10T16:13:00.551146Z,42331,Research/EconomicsMarkets/markets.csv
economics_phase_i_029,phase_i,Economics,CPI-24MAY-T0.0,KXCPI,CPI-24MAY,Will CPI rise more than 0.0% in May 2024?,no,finalized,2024-04-11T14:00:00Z,2024-06-12T12:25:00Z,2024-06-12,2024-06-12T16:15:01.015028Z,42321,Research/EconomicsMarkets/markets.csv
economics_phase_i_030,phase_i,Economics,PAYROLLS-24MAY-T175000,KXPAYROLLS,PAYROLLS-24MAY,Will above 175000 jobs be added in May 2024?,yes,finalized,2024-05-03T12:31:00Z,2024-06-07T12:25:00Z,2024-06-07,2024-06-07T16:07:01.102647Z,39838,Research/EconomicsMarkets/markets.csv
economics_phase_i_031,phase_i,Economics,CPIYOY-24APR-T3.5,KXCPIYOY,CPIYOY-24APR,Will the rate of CPI inflation be above 3.5% for the year ending in April 2024?,no,finalized,2024-03-13T14:00:00Z,2024-05-15T12:25:00Z,2024-05-15,2024-05-15T16:10:01.039707Z,37848,Research/EconomicsMarkets/markets.csv
economics_phase_i_032,phase_i,Economics,PAYROLLS-24FEB-T399999,KXPAYROLLS,PAYROLLS-24FEB,Will above 399999 jobs be added in February 2024?,no,finalized,2024-02-03T02:00:00Z,2024-03-08T13:25:00Z,2024-03-08,2024-03-08T17:29:00.458346Z,37677,Research/EconomicsMarkets/markets.csv
economics_phase_i_033,phase_i,Economics,PROLLS-24JAN-T299999,KXPAYROLLS,PROLLS-24JAN,Will above 299999 jobs be added in January 2024?,yes,finalized,2024-01-02T17:55:00Z,2024-02-02T13:25:00Z,2024-02-02,2024-02-02T17:45:00.40054Z,35540,Research/EconomicsMarkets/markets.csv
economics_phase_i_034,phase_i,Economics,FED-24MAR-T5.75,KXFED,FED-24MAR,Will the upper bound of the federal funds rate be above 5.75% following the Fed's March meeting?,no,finalized,2023-07-06T14:00:00Z,2024-03-20T17:55:00Z,2024-03-20,2024-03-21T08:07:00.213741Z,30880,Research/EconomicsMarkets/markets.csv
economics_phase_i_035,phase_i,Economics,FEDDECISION-24MAR20-C26,KXFEDDECISION,FEDDECISION-24MAR20,Will the Federal Reserve Cut rates by >25bps at their March 2024 meeting?,no,finalized,2024-01-31T19:05:00Z,2024-03-20T17:55:00Z,2024-03-20,2024-03-20T20:08:00.408598Z,30855,Research/EconomicsMarkets/markets.csv
economics_phase_i_036,phase_i,Economics,FED-24MAY-T4.50,KXFED,FED-24MAY,Will the upper bound of the federal funds rate be above 4.50% following the Fed's May meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-05-01T17:55:00Z,2024-05-01,2024-05-02T08:06:00.211819Z,29644,Research/EconomicsMarkets/markets.csv
economics_phase_i_037,phase_i,Economics,PAYROLLS-24FEB-T352999,KXPAYROLLS,PAYROLLS-24FEB,Will above 352999 jobs be added in February 2024?,no,finalized,2024-02-02T13:35:00Z,2024-03-08T13:25:00Z,2024-03-08,2024-03-08T17:20:00.538467Z,28281,Research/EconomicsMarkets/markets.csv
economics_phase_i_038,phase_i,Economics,PAYROLLS-24MAR-T200000,KXPAYROLLS,PAYROLLS-24MAR,Will above 200000 jobs be added in March 2024?,yes,finalized,2024-02-23T15:00:00Z,2024-04-05T12:25:00Z,2024-04-05,2024-04-05T16:20:00.395037Z,28184,Research/EconomicsMarkets/markets.csv
economics_phase_i_039,phase_i,Economics,AAAGASM-24JUN30-US-3.50,KXAAAGASM,AAAGASM-24JUN30-US,Will average **gas prices** be above $3.50?,no,finalized,2024-05-31T14:00:00Z,2024-06-30T03:59:00Z,2024-06-30,2024-07-01T16:19:00.613213Z,26090,Research/EconomicsMarkets/markets.csv
economics_phase_i_040,phase_i,Economics,PAYROLLS-24APR-T100000,KXPAYROLLS,PAYROLLS-24APR,Will above 100000 jobs be added in April 2024?,yes,finalized,2024-03-22T14:00:00Z,2024-05-03T12:25:00Z,2024-05-03,2024-05-03T16:59:01.10489Z,23403,Research/EconomicsMarkets/markets.csv
economics_phase_i_041,phase_i,Economics,CPI-24APR-T0.4,KXCPI,CPI-24APR,Will CPI rise more than 0.4% in April 2024?,no,finalized,2024-03-13T14:00:00Z,2024-05-15T12:25:00Z,2024-05-15,2024-05-15T16:10:00.959297Z,23263,Research/EconomicsMarkets/markets.csv
economics_phase_i_042,phase_i,Economics,FED-24JUN-T4.25,KXFED,FED-24JUN,Will the upper bound of the federal funds rate be above 4.25% following the Fed's June meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-06-12T17:55:00Z,2024-06-12,2024-06-13T08:06:00.670128Z,23209,Research/EconomicsMarkets/markets.csv
economics_phase_i_043,phase_i,Economics,FEDDECISION-24JUN-H25,KXFEDDECISION,FEDDECISION-24JUN,Will the Federal Reserve Hike rates by 25bps at their June 2024 meeting?,no,finalized,2024-05-01T14:00:00Z,2024-06-12T17:55:00Z,2024-06-12,2024-06-12T20:11:01.276236Z,22016,Research/EconomicsMarkets/markets.csv
economics_phase_i_044,phase_i,Economics,CPI-24MAR-T0.3,KXCPI,CPI-24MAR,Will CPI rise more than 0.3% in March 2024?,yes,finalized,2024-02-13T13:00:00Z,2024-04-10T12:25:00Z,2024-04-10,2024-04-10T16:13:00.563643Z,21776,Research/EconomicsMarkets/markets.csv
economics_phase_i_045,phase_i,Economics,CPI-24JAN-T0.2,KXCPI,CPI-24JAN,Will CPI rise more than 0.2% in January 2024?,yes,finalized,2024-01-02T16:00:00Z,2024-02-13T13:25:00Z,2024-02-13,2024-02-13T16:40:00.41373Z,21043,Research/EconomicsMarkets/markets.csv
economics_phase_i_046,phase_i,Economics,FEDDECISION-24MAY-H25,KXFEDDECISION,FEDDECISION-24MAY,Will the Federal Reserve Hike rates by 25bps at their May 2024 meeting?,no,finalized,2024-03-20T18:05:00Z,2024-05-01T17:55:00Z,2024-05-01,2024-05-01T20:11:00.937079Z,20983,Research/EconomicsMarkets/markets.csv
economics_phase_i_047,phase_i,Economics,CPIYOY-24MAR-T3.3,KXCPIYOY,CPIYOY-24MAR,Will the rate of CPI inflation be above 3.3% for the year ending in March 2024?,yes,finalized,2024-02-13T13:00:00Z,2024-04-10T12:25:00Z,2024-04-10,2024-04-10T16:13:01.151012Z,20765,Research/EconomicsMarkets/markets.csv
economics_phase_i_048,phase_i,Economics,PAYROLLS-24APR-T150000,KXPAYROLLS,PAYROLLS-24APR,Will above 150000 jobs be added in April 2024?,yes,finalized,2024-03-22T14:00:00Z,2024-05-03T12:25:00Z,2024-05-03,2024-05-03T17:03:01.249737Z,20266,Research/EconomicsMarkets/markets.csv
economics_phase_i_049,phase_i,Economics,PAYROLLS-24APR-T225000,KXPAYROLLS,PAYROLLS-24APR,Will above 225000 jobs be added in April 2024?,no,finalized,2024-04-12T21:00:00Z,2024-05-03T12:25:00Z,2024-05-03,2024-05-03T17:03:01.294971Z,20181,Research/EconomicsMarkets/markets.csv
economics_phase_i_050,phase_i,Economics,CPI-24FEB-T0.4,KXCPI,CPI-24FEB,Will CPI rise more than 0.4% in February 2024?,no,finalized,2024-01-11T16:00:00Z,2024-03-12T12:25:00Z,2024-03-12,2024-03-12T16:31:00.618244Z,19791,Research/EconomicsMarkets/markets.csv
economics_phase_i_051,phase_i,Economics,FED-24MAY-T5.75,KXFED,FED-24MAY,Will the upper bound of the federal funds rate be above 5.75% following the Fed's May meeting?,no,finalized,2023-07-06T14:00:00Z,2024-05-01T17:55:00Z,2024-05-01,2024-05-02T08:07:00.646017Z,19757,Research/EconomicsMarkets/markets.csv
economics_phase_i_052,phase_i,Economics,AAAGASM-24JUN30-US-3.45,KXAAAGASM,AAAGASM-24JUN30-US,Will average **gas prices** be above $3.45?,yes,finalized,2024-05-31T14:00:00Z,2024-06-30T03:59:00Z,2024-06-30,2024-07-01T16:19:00.667854Z,19588,Research/EconomicsMarkets/markets.csv
economics_phase_i_053,phase_i,Economics,PAYROLLS-24MAY-T150000,KXPAYROLLS,PAYROLLS-24MAY,Will above 150000 jobs be added in May 2024?,yes,finalized,2024-04-19T14:00:00Z,2024-06-07T12:25:00Z,2024-06-07,2024-06-07T16:03:00.892556Z,19090,Research/EconomicsMarkets/markets.csv
economics_phase_i_054,phase_i,Economics,PAYROLLS-24FEB-T199999,KXPAYROLLS,PAYROLLS-24FEB,Will above 199999 jobs be added in February 2024?,yes,finalized,2024-02-02T13:00:00Z,2024-03-08T13:25:00Z,2024-03-08,2024-03-08T17:20:00.563157Z,18513,Research/EconomicsMarkets/markets.csv
economics_phase_i_055,phase_i,Economics,PAYROLLS-24FEB-T149999,KXPAYROLLS,PAYROLLS-24FEB,Will above 149999 jobs be added in February 2024?,yes,finalized,2024-02-02T13:00:00Z,2024-03-08T13:25:00Z,2024-03-08,2024-03-08T17:30:00.807915Z,17748,Research/EconomicsMarkets/markets.csv
economics_phase_i_056,phase_i,Economics,PAYROLLS-24APR-T250000,KXPAYROLLS,PAYROLLS-24APR,Will above 250000 jobs be added in April 2024?,no,finalized,2024-03-22T14:00:00Z,2024-05-03T12:25:00Z,2024-05-03,2024-05-03T16:59:01.124616Z,17662,Research/EconomicsMarkets/markets.csv
economics_phase_i_057,phase_i,Economics,PAYROLLS-24MAR-T275000,KXPAYROLLS,PAYROLLS-24MAR,Will above 275000 jobs be added in March 2024?,yes,finalized,2024-03-08T13:32:00Z,2024-04-05T12:25:00Z,2024-04-05,2024-04-05T16:41:01.584863Z,16857,Research/EconomicsMarkets/markets.csv
economics_phase_i_058,phase_i,Economics,CPIYOY-24MAR-T3.2,KXCPIYOY,CPIYOY-24MAR,Will the rate of CPI inflation be above 3.2% for the year ending in March 2024?,yes,finalized,2024-02-13T13:00:00Z,2024-04-10T12:25:00Z,2024-04-10,2024-04-10T16:13:01.115991Z,16839,Research/EconomicsMarkets/markets.csv
economics_phase_i_059,phase_i,Economics,PAYROLLS-24APR-T200000,KXPAYROLLS,PAYROLLS-24APR,Will above 200000 jobs be added in April 2024?,no,finalized,2024-03-22T14:00:00Z,2024-05-03T12:25:00Z,2024-05-03,2024-05-03T17:03:00.5341Z,16441,Research/EconomicsMarkets/markets.csv
economics_phase_i_060,phase_i,Economics,CPIYOY-24MAY-T3.2,KXCPIYOY,CPIYOY-24MAY,Will the rate of CPI inflation be above 3.2% for the year ending in May 2024?,yes,finalized,2024-04-11T14:00:00Z,2024-06-12T12:25:00Z,2024-06-12,2024-06-12T16:15:01.815071Z,15611,Research/EconomicsMarkets/markets.csv
economics_phase_i_061,phase_i,Economics,FEDDECISION-24MAR20-H25,KXFEDDECISION,FEDDECISION-24MAR20,Will the Federal Reserve Hike rates by 25bps at their March 2024 meeting?,no,finalized,2024-01-31T19:05:00Z,2024-03-20T17:55:00Z,2024-03-20,2024-03-20T20:08:00.408598Z,15481,Research/EconomicsMarkets/markets.csv
economics_phase_i_062,phase_i,Economics,PAYROLLS-24MAY-T100000,KXPAYROLLS,PAYROLLS-24MAY,Will above 100000 jobs be added in May 2024?,yes,finalized,2024-04-19T14:00:00Z,2024-06-07T12:25:00Z,2024-06-07,2024-06-07T16:03:00.877246Z,15455,Research/EconomicsMarkets/markets.csv
economics_phase_i_063,phase_i,Economics,AAAGASM-24JUN30-US-3.40,KXAAAGASM,AAAGASM-24JUN30-US,Will average **gas prices** be above $3.40?,yes,finalized,2024-06-05T13:30:00Z,2024-06-30T03:59:00Z,2024-06-30,2024-07-01T16:15:01.538412Z,15408,Research/EconomicsMarkets/markets.csv
economics_phase_i_064,phase_i,Economics,PAYROLLS-24FEB-T99999,KXPAYROLLS,PAYROLLS-24FEB,Will above 99999 jobs be added in February 2024?,yes,finalized,2024-02-02T13:00:00Z,2024-03-08T13:25:00Z,2024-03-08,2024-03-08T17:30:00.822772Z,15167,Research/EconomicsMarkets/markets.csv
economics_phase_i_065,phase_i,Economics,CPI-24MAY-T0.3,KXCPI,CPI-24MAY,Will CPI rise more than 0.3% in May 2024?,no,finalized,2024-04-11T14:00:00Z,2024-06-12T12:25:00Z,2024-06-12,2024-06-12T16:12:00.694941Z,14832,Research/EconomicsMarkets/markets.csv
economics_phase_i_066,phase_i,Economics,FEDDECISION-24MAY-C26,KXFEDDECISION,FEDDECISION-24MAY,Will the Federal Reserve Cut rates by >25bps at their May 2024 meeting?,no,finalized,2024-03-20T18:05:00Z,2024-05-01T17:55:00Z,2024-05-01,2024-05-01T20:11:00.937079Z,14712,Research/EconomicsMarkets/markets.csv
economics_phase_i_067,phase_i,Economics,PAYROLLS-24MAR-T300000,KXPAYROLLS,PAYROLLS-24MAR,Will above 300000 jobs be added in March 2024?,yes,finalized,2024-02-23T15:00:00Z,2024-04-05T12:25:00Z,2024-04-05,2024-04-05T16:41:01.554873Z,14181,Research/EconomicsMarkets/markets.csv
economics_phase_i_068,phase_i,Economics,PROLLS-24JAN-T215999,KXPAYROLLS,PROLLS-24JAN,Will above 215999 jobs be added in January 2024?,yes,finalized,2024-01-05T13:45:00Z,2024-02-02T13:25:00Z,2024-02-02,2024-02-02T17:44:00.741487Z,14108,Research/EconomicsMarkets/markets.csv
economics_phase_i_069,phase_i,Economics,PAYROLLS-24MAR-T175000,KXPAYROLLS,PAYROLLS-24MAR,Will above 175000 jobs be added in March 2024?,yes,finalized,2024-03-08T16:00:00Z,2024-04-05T12:25:00Z,2024-04-05,2024-04-05T16:42:00.724651Z,14069,Research/EconomicsMarkets/markets.csv
economics_phase_i_070,phase_i,Economics,CPI-24MAR-T0.1,KXCPI,CPI-24MAR,Will CPI rise more than 0.1% in March 2024?,yes,finalized,2024-02-13T13:00:00Z,2024-04-10T12:25:00Z,2024-04-10,2024-04-10T16:13:00.536222Z,14048,Research/EconomicsMarkets/markets.csv
economics_phase_i_071,phase_i,Economics,CPIYOY-24FEB-T3.1,KXCPIYOY,CPIYOY-24FEB,Will the rate of CPI inflation be above 3.1% for the year ending in February 2024?,yes,finalized,2024-01-11T16:00:00Z,2024-03-12T12:25:00Z,2024-03-12,2024-03-12T16:28:00.688243Z,13844,Research/EconomicsMarkets/markets.csv
economics_phase_i_072,phase_i,Economics,GDP-24APR25-T3.3,KXGDP,GDP-24APR25,Will **real GDP** increase by more than 3.3% in 1?,no,finalized,2024-01-25T13:40:00Z,2024-04-25T12:25:00Z,2024-04-25,2024-04-25T16:28:00.705524Z,12800,Research/EconomicsMarkets/markets.csv
economics_phase_i_073,phase_i,Economics,PAYROLLS-24APR-T303000,KXPAYROLLS,PAYROLLS-24APR,Will above 303000 jobs be added in April 2024?,no,finalized,2024-04-05T12:31:00Z,2024-05-03T12:25:00Z,2024-05-03,2024-05-03T16:59:01.139245Z,12275,Research/EconomicsMarkets/markets.csv
economics_phase_i_074,phase_i,Economics,CPI-24FEB-T0.3,KXCPI,CPI-24FEB,Will CPI rise more than 0.3% in February 2024?,yes,finalized,2024-01-11T16:00:00Z,2024-03-12T12:25:00Z,2024-03-12,2024-03-12T16:34:00.283092Z,11898,Research/EconomicsMarkets/markets.csv
economics_phase_i_075,phase_i,Economics,PAYROLLS-24FEB-T299999,KXPAYROLLS,PAYROLLS-24FEB,Will above 299999 jobs be added in February 2024?,no,finalized,2024-02-02T13:00:00Z,2024-03-08T13:25:00Z,2024-03-08,2024-03-08T17:20:00.548492Z,11626,Research/EconomicsMarkets/markets.csv
economics_phase_i_076,phase_i,Economics,CPI-24FEB-T0.5,KXCPI,CPI-24FEB,Will CPI rise more than 0.5% in February 2024?,no,finalized,2024-01-11T16:00:00Z,2024-03-12T12:25:00Z,2024-03-12,2024-03-12T16:31:00.608028Z,11601,Research/EconomicsMarkets/markets.csv
economics_phase_i_077,phase_i,Economics,CPIYOY-24MAR-T3.4,KXCPIYOY,CPIYOY-24MAR,Will the rate of CPI inflation be above 3.4% for the year ending in March 2024?,yes,finalized,2024-02-13T13:00:00Z,2024-04-10T12:25:00Z,2024-04-10,2024-04-10T16:13:01.172303Z,11579,Research/EconomicsMarkets/markets.csv
economics_phase_i_078,phase_i,Economics,CPIYOY-24MAY-T3.3,KXCPIYOY,CPIYOY-24MAY,Will the rate of CPI inflation be above 3.3% for the year ending in May 2024?,no,finalized,2024-04-11T14:00:00Z,2024-06-12T12:25:00Z,2024-06-12,2024-06-12T16:15:01.049904Z,11439,Research/EconomicsMarkets/markets.csv
economics_phase_i_079,phase_i,Economics,CPI-24APR-T0.5,KXCPI,CPI-24APR,Will CPI rise more than 0.5% in April 2024?,no,finalized,2024-03-13T14:00:00Z,2024-05-15T12:25:00Z,2024-05-15,2024-05-15T16:10:00.925061Z,11338,Research/EconomicsMarkets/markets.csv
economics_phase_i_080,phase_i,Economics,AAAGASM-24MAY31-US-3.55,KXAAAGASM,AAAGASM-24MAY31-US,Will average **gas prices** be above $3.55?,yes,finalized,2024-05-12T14:00:00Z,2024-05-31T03:59:00Z,2024-05-31,2024-05-31T16:11:01.428009Z,11285,Research/EconomicsMarkets/markets.csv
economics_phase_i_081,phase_i,Economics,CPIYOY-24MAY-T3.4,KXCPIYOY,CPIYOY-24MAY,Will the rate of CPI inflation be above 3.4% for the year ending in May 2024?,no,finalized,2024-04-11T14:00:00Z,2024-06-12T12:25:00Z,2024-06-12,2024-06-12T16:11:01.080645Z,10828,Research/EconomicsMarkets/markets.csv
economics_phase_i_082,phase_i,Economics,PAYROLLS-24MAR-T100000,KXPAYROLLS,PAYROLLS-24MAR,Will above 100000 jobs be added in March 2024?,yes,finalized,2024-02-23T15:00:00Z,2024-04-05T12:25:00Z,2024-04-05,2024-04-05T16:41:01.505268Z,10283,Research/EconomicsMarkets/markets.csv
economics_phase_i_083,phase_i,Economics,AAAGASM-24JUN30-US-3.55,KXAAAGASM,AAAGASM-24JUN30-US,Will average **gas prices** be above $3.55?,no,finalized,2024-05-31T14:00:00Z,2024-06-30T03:59:00Z,2024-06-30,2024-07-01T16:19:00.558643Z,10131,Research/EconomicsMarkets/markets.csv
economics_phase_i_084,phase_i,Economics,CPIYOY-24JAN-T3.0,KXCPIYOY,CPIYOY-24JAN,Will the rate of CPI inflation be above 3.0% for the year ending in January 2024?,yes,finalized,2024-01-11T19:20:00Z,2024-02-13T13:25:00Z,2024-02-13,2024-02-13T17:05:00.718675Z,10026,Research/EconomicsMarkets/markets.csv
economics_phase_i_085,phase_i,Economics,PAYROLLS-24MAR-T225000,KXPAYROLLS,PAYROLLS-24MAR,Will above 225000 jobs be added in March 2024?,yes,finalized,2024-03-08T16:00:00Z,2024-04-05T12:25:00Z,2024-04-05,2024-04-05T16:42:00.740005Z,9813,Research/EconomicsMarkets/markets.csv
