category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume,keywords
Science and Technology,global-heat-increase-between-1pt22c-and-1pt24c-for-2024,global-heat-increase-2024,0x43905da101b102a1867fcb36b15b41b29282b568202f079152933e021cc2b8cf,Global heat increase between 1.22°C and 1.24°C for 2024?,No,closed,2024-08-28T20:33:06.236Z,2024-12-31T12:00:00Z,2025-01-10T19:37:21Z,9466873.29085309,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,bird-flu-pandemic-in-2024,bird-flu-pandemic-in-2024,0xea27d1fc974b4aa0756d37bb2c72e9e424b74a271e291b195510dc68399e5071,Bird flu pandemic in 2024?,No,closed,2024-05-23T14:48:24.773753Z,2024-12-31T12:00:00Z,2025-01-01T07:58:08Z,1086680.75949,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,global-heat-increase-greater-than-1pt30c-for-2024,global-heat-increase-2024,0x32755657561c75af11b8179b5038532e043bcc4fc43aad41bef843e2474e04eb,Global heat increase greater than 1.30°C for 2024?,No,closed,2024-08-28T20:32:48.207Z,2024-12-31T12:00:00Z,2025-01-10T19:18:15Z,939019.081285,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-openai-announce-it-has-achieved-agi-in-2024,will-openai-announce-it-has-achieved-agi-in-2024,0xd2d4628c6119f20763ac855b54db1fbb408b518d81bbed249bf5b09fb72f4537,OpenAI announces it has achieved AGI in 2024?,No,closed,2023-12-30T00:25:43.934Z,2024-12-31T00:00:00Z,2025-01-01T08:18:04Z,907184.582664996,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,2024-september-hottest-on-record,2024-september-hottest-on-record,0xbd803b51b5de5c061a57213e4b5a47bfcb9390f1ef3f93a8d571fe0132f70b51,2024 September hottest on record?,No,closed,2024-08-30T19:58:43.304Z,2024-10-20T12:00:00Z,2024-10-21T18:22:43Z,894638.994502,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,2024-october-hottest-on-record,2024-october-hottest-on-record,0x2cc32ede706a85ec4056aa91df09f962ab11c1c2cac92b3a7befd5fe0832e738,2024 October hottest on record?,No,closed,2024-09-30T15:26:23.499251Z,2024-10-31T12:00:00Z,2024-11-08T18:52:20Z,837976.538011,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-openai-release-gpt-5-in-2024,will-openai-release-gpt-5-in-2024,0x3fce809e37646d54bf5e13b8919cf26a939f71c0c84d09fee395f4d69cc0f388,GPT-5 released in 2024?,No,closed,2024-07-31T21:16:50.761Z,2024-12-31T12:00:00Z,2025-01-01T08:27:42Z,753918.232534,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,layerzero-airdrop-by-june-30,airdrops-by-june-30,0xe71ffd6668b6f26eb8f850bb668a09b64b50dc400f704035594163796d385249,LayerZero airdrop by June 30?,Yes,closed,2024-02-15T17:18:27.048Z,2024-06-28T12:00:00Z,2024-06-20T21:08:21Z,729959.924982,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-there-be-more-than-25-named-storms-during-atlantic-hurricane-season,how-many-named-storms-during-atlantic-hurricane-season-2024,0x31a5dcf98ab184ef2c167c7daaca2155242d61f841cb9ac9615f1e03c77b7732,Will there be more than 25 named storms during Atlantic Hurricane Season?,No,closed,2024-05-06T21:58:37.521Z,2024-12-01T12:00:00Z,2024-12-01T08:34:54Z,711044.746626,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,covid-lab-leak-confirmed-by-us-in-2024,covid-lab-leak-confirmed-by-us-in-2024,0xdfd4276c3144acea7037bc3c4d9924f8a79de9af98ce7d798b6086ff0c5e7dc0,COVID lab leak confirmed by US in 2024?,No,closed,2024-01-25T23:23:47.709Z,2024-12-31T00:00:00Z,2025-01-01T09:31:14Z,690266.856052001,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-stranded-astronauts-leave-the-iss-in-2024,will-stranded-astronauts-leave-the-iss-in-2024,0xac76f7385f35c0d6b8fdf9c3a07acbf82ce91c5319dea07bf5c966d3875d9298,Will stranded astronauts leave the ISS in 2024?,No,closed,2024-08-11T18:40:18.182902Z,2024-12-31T12:00:00Z,2025-01-01T09:47:30Z,686218.354919004,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-nasa-record-2023-as-the-hottest-year-on-record,will-nasa-record-2023-as-the-hottest-year-on-record,0x3345899c2049b0820ac501288cbcd3e41e9b2be9dc8cd6c12905969b9dc126b5,Will NASA record 2023 as the hottest year on record? (1.03°C or higher),Yes,closed,2023-06-23T17:25:16.51Z,2023-12-31T00:00:00Z,2024-01-12T20:02:35Z,668039.759919,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-december-2024-temperature-increase-be-between-1pt30-1pt34c,december-2024-temperature-increase-c,0x4221fc378c148f0320a06d636d1335418207c23df410a54f98897b02c9cb7a21,Will the December 2024 temperature increase be between 1.30-1.34°C?,No,closed,2024-12-02T23:10:20.213283Z,2024-12-31T12:00:00Z,2025-01-10T19:37:37Z,618868.651038,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-chopsticks-catch-spacexs-super-heavy,will-the-chopsticks-catch-spacexs-super-heavy,0x90253525b201c9b7257bca40036c5cc9afb9ae709c4badfe99cc0ff5fae9dce7,Will the chopsticks catch SpaceX's Super Heavy?,No,closed,2024-11-15T19:55:02.316Z,2024-11-18T12:00:00Z,2024-11-20T00:15:06Z,604510.725862,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,monkey-pox-pandemic-in-2024,monkey-pox-pandemic-in-2024,0xb7c1c4d39ff70ccf613cd7fa5d1cb25f438aaeed6c5cf09e220011bb75215cbd,Monkeypox pandemic in 2024?,No,closed,2024-08-09T15:32:26.632Z,2024-12-31T12:00:00Z,2025-01-01T09:21:56Z,602464.946073999,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-november-2024-temperature-increase-be-less-than-1pt20c,november-2024-temperature-increase-c,0xc0b0c6d7795453a6c2da700496583354384f012b79c53e98bc2d7fa91586348e,Will the November 2024 temperature increase be less than 1.20°C?,No,closed,2024-11-06T18:49:56.126902Z,2024-11-30T12:00:00Z,2024-12-10T19:21:59Z,595329.256375,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,confirmed-case-of-monkeypox-in-us-by-sept-30,confirmed-case-of-monkeypox-in-us-by-sept-30,0xf9a9aef82bb201abf51a6d892129a41293039af1393f17ed2db25f2d84a0d5f2,Confirmed case of monkeypox in US by Sep 30?,No,closed,2024-08-14T23:45:27.666Z,2024-09-30T12:00:00Z,2024-10-01T06:52:26Z,588204.032569,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,gpt5-announced-in-q4-2024,when-will-gpt-5-be-announced,0x4ac4849343a847d75cff15174a139ef9c4bc89bdb8c8bcdd7bee61204912d549,GPT-5 announced in Q4 2024?,No,closed,2024-04-02T15:55:25.972Z,2024-12-31T12:00:00Z,2025-01-01T09:57:58Z,571862.405931001,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,sundar-pichai-out-as-google-ceo-in-2024,sundar-pichai-out-as-google-ceo-in-2024,0x681f15cf953430c5f91a87c3a35514c811d43e406ee5d03b490ca1096f7c7937,Sundar Pichai out as Google CEO in 2024?,No,closed,2024-01-19T16:44:26.141Z,2024-12-31T00:00:00Z,2025-01-01T08:08:18Z,567277.883784995,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-milton-make-landfall-as-a-category-5,milton-landfall-at-what-category,0xe92fb17880e1bc7ff13f25f5bfef59aca43691f5800fda43b4cec5e982fcc814,Will Milton make landfall as a category 5?,No,closed,2024-10-07T16:44:48.64426Z,2024-10-31T12:00:00Z,2024-10-10T03:49:52Z,559639.676514,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-november-2024-temperature-increase-be-between-1pt20-1pt24c,november-2024-temperature-increase-c,0x3189e493d87b09525eced3aaae9bb48a9460cef9aa7e6b1c4ed3c4c2df8ffe6a,Will the November 2024 temperature increase be between 1.20-1.24°C?,No,closed,2024-11-06T18:53:53.570976Z,2024-11-30T12:00:00Z,2024-12-10T19:21:51Z,555924.62488,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-there-be-between-21-and-25-named-storms-during-atlantic-hurricane-season,how-many-named-storms-during-atlantic-hurricane-season-2024,0xa4855d0b28960be4824c31c280d274572e176313d8efda21446cabe6bdc32efc,Will there be between 21 and 25 named storms during Atlantic Hurricane Season?,No,closed,2024-05-02T19:49:00.777Z,2024-12-01T12:00:00Z,2024-12-01T08:39:58Z,549051.355334,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-december-2024-temperature-increase-be-less-than-1pt20c,december-2024-temperature-increase-c,0x980b1b2c0ac1bb550dbec7df22ea3fd0d21159886e59f86ce56bc415dd9cf182,Will the December 2024 temperature increase be less than 1.20°C?,No,closed,2024-12-02T23:08:35.308878Z,2024-12-31T12:00:00Z,2025-01-10T19:47:43Z,545715.558028,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,taiko-airdrop-by-june-30,airdrops-by-june-30,0x442328c16a9dc25ddafd42efbe7c40895e1982ff0308257ba5f475b3260e0999,Taiko airdrop by June 30?,Yes,closed,2024-02-21T17:11:32.646Z,2024-06-30T12:00:00Z,2024-06-05T22:25:05Z,501528.578884,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-december-2024-temperature-increase-be-between-1pt20-1pt24c,december-2024-temperature-increase-c,0x95aa184e6468861d7438bc0a80b43a3db1628ea86baa8dd7c6cdbf5089891912,Will the December 2024 temperature increase be between 1.20-1.24°C?,No,closed,2024-12-02T23:09:19.45525Z,2024-12-31T12:00:00Z,2025-01-10T19:47:33Z,500998.336498,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-milton-make-landfall-as-a-category-2-or-lower,milton-landfall-at-what-category,0x2b69d5cdd7782833b4731ed2e610cb8efa1cdfb181584db4f596061ff240fdd0,Will Milton make landfall as a category 2 or lower?,No,closed,2024-10-07T16:42:16.423911Z,2024-10-31T12:00:00Z,2024-10-10T03:44:33Z,482582.406956,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,global-heat-increase-between-1pt28c-and-1pt30c-for-2024,global-heat-increase-2024,0x94aa7a2a4106356c803c6955c5eb46152cd58c372b843ce02a8db0239dd74a46,Global heat increase between 1.28°C and 1.30°C for 2024?,Yes,closed,2024-08-28T20:32:58.247Z,2024-12-31T12:00:00Z,2025-01-10T19:32:10Z,480839.240367,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,august-temperature-increase-by-less-than-1pt15c,august-2024-temperature-increase-c,0xbfe1f4ddd4769cbabdca18d3bbf2fc4dddfcd90d7d4c34b06fcb25d6e4bbf4ac,August temperature increase by less than 1.15°C?,No,closed,2024-08-13T19:19:21.121855Z,2024-08-31T12:00:00Z,2024-09-10T18:23:42Z,473762.491048,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-november-2024-temperature-increase-be-greater-than-1pt39c,november-2024-temperature-increase-c,0xaf26a1f6b41e1642b3422d3134e536cbcebd99f4cd989c2722f56ab22449b77f,Will the November 2024 temperature increase be greater than 1.39°C?,No,closed,2024-11-06T19:01:00.65492Z,2024-11-30T12:00:00Z,2024-12-10T19:17:21Z,464314.952471,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-december-2024-temperature-increase-be-between-1pt25-1pt29c,december-2024-temperature-increase-c,0xd971abf6d25fb08d4386846f314b57f33e09f3cf8a1327de3c731f6d29b837cf,Will the December 2024 temperature increase be between 1.25-1.29°C?,Yes,closed,2024-12-02T23:09:39.09211Z,2024-12-31T12:00:00Z,2025-01-10T19:37:31Z,458426.482127,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-october-2024-temperature-increase-be-greater-than-1pt40c,october-2024-temperature-increase-c,0xcfade890130c9156602dbc9589af4277b2480b674488e0b74534c14da057f7bb,Will the October 2024 temperature increase be greater than 1.40°C?,No,closed,2024-10-23T19:58:44.640512Z,2024-10-31T12:00:00Z,2024-11-08T19:58:14Z,453420.010389,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,august-temperature-increase-by-between-1pt15-1pt19c,august-2024-temperature-increase-c,0x2d21171331eb7efcf6b2339c1e4e56ce176803a49bd1efc007834c61cd6b735a,August temperature increase by between 1.15-1.19°C?,No,closed,2024-08-13T19:25:26.901932Z,2024-08-31T12:00:00Z,2024-09-10T18:08:07Z,432072.70143,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-december-2024-temperature-increase-be-greater-than-1pt34c,december-2024-temperature-increase-c,0xeb6ef8774a2f00981c95a0f7b06c451d06d3e3335c043330758c65616899d383,Will the December 2024 temperature increase be greater than 1.34°C?,No,closed,2024-12-02T23:11:50.729Z,2024-12-31T12:00:00Z,2025-01-10T19:47:37Z,421893.432298,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,meissner-effect-confirmed-near-room-temperature,meissner-effect-confirmed-near-room-temperature,0x715a00736b0e47286256eed499755204dc6750942c262ef79624579b4dfa04a1,Meissner effect confirmed near room temperature?,No,closed,2024-01-03T17:38:48.128Z,2024-12-31T00:00:00Z,2025-01-01T08:37:44Z,421132.565205,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,gpt5-not-announced-in-2024,when-will-gpt-5-be-announced,0xc7aaca62c77ab866abe4e2f39d11b6b7362a274077c5a388c3bd04bda35e0257,GPT-5 not announced in 2024?,Yes,closed,2024-04-02T15:55:29.749Z,2024-12-31T12:00:00Z,2025-01-01T09:57:56Z,417554.332143005,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-satoshi-nakamotos-identity-be-proven-in-q4-2024,when-will-satoshis-identity-be-proven,0xa47e90f1232464539a75336de9fa41856285bc2dd5250ee509084ee90cf2d26e,Will Satoshi Nakamoto's identity be proven in Q4 2024?,No,closed,2024-02-27T20:44:22.874Z,2024-12-31T00:00:00Z,2025-01-01T08:48:10Z,399921.960411981,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,august-temperature-increase-by-between-1pt20-1pt24c,august-2024-temperature-increase-c,0xed117d5ff1bee649915bf6032010d03de49c8641d4893b8349c9a543abd09b3a,August temperature increase by between 1.20-1.24°C?,No,closed,2024-08-13T19:26:19.324961Z,2024-08-31T12:00:00Z,2024-09-10T18:23:38Z,386231.134313,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-milton-make-landfall-as-a-category-4,milton-landfall-at-what-category,0x709006d1b05859c5629845b3ec3f64e3496cd0af24b28c464e16b69da844414b,Will Milton make landfall as a category 4?,No,closed,2024-10-07T16:43:09.164294Z,2024-10-31T12:00:00Z,2024-10-10T03:49:58Z,384694.824722,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-november-2024-temperature-increase-be-between-1pt35-1pt39c,november-2024-temperature-increase-c,0xc84c3451df32872d1167afe34c2406a6161bad495ec4732b37aee87074b9d06a,Will the November 2024 temperature increase be between 1.35-1.39°C?,No,closed,2024-11-06T18:56:37.223727Z,2024-11-30T12:00:00Z,2024-12-10T19:12:31Z,383209.671594,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,new-jersey-mystery-drones-from-foreign-country,new-jersey-mystery-drones-from-foreign-country,0x8fffe49316ec5249523441ce66a8511c756fe2a3e5fcc03a3d1040bba3e9d753, New Jersey mystery drones from foreign country?,No,closed,2024-12-11T16:55:39.706Z,2024-12-31T12:00:00Z,2025-01-01T08:47:36Z,379313.921984,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,eigenlayer-airdrop-by-june-30,airdrops-by-june-30,0x6cb42eebafe77f81d9164773db07ebd168add91ee909892cd14c59d4d442f3dc,EigenLayer airdrop by June 30?,No,closed,2024-02-13T17:54:15.755Z,2024-06-30T12:00:00Z,2024-07-01T06:25:58Z,377945.443909,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,blast-airdrop-by-june-30,airdrops-by-june-30,0x632d80131965486c8a1a7c7adb61bd667e3ffc84a079ce94e8c99ef065f42611,Blast airdrop by June 30?,Yes,closed,2024-02-14T21:37:00Z,2024-06-28T12:00:00Z,2024-06-26T18:05:09Z,366875.084049,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-there-be-between-16-and-20-named-storms-during-atlantic-hurricane-season,how-many-named-storms-during-atlantic-hurricane-season-2024,0x573dfc705c8f4250064b3ad30d2cc43397f16c9fc5b343473c860bbd04d7a3ca,Will there be between 16 and 20 named storms during Atlantic Hurricane Season?,Yes,closed,2024-05-02T19:48:18.28Z,2024-12-01T12:00:00Z,2024-12-01T10:17:08Z,364337.612057,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,gpt5-announced-in-q3-2024,when-will-gpt-5-be-announced,0xb706e15f1b9b0eb0535956ba88c2e0be756ffa6cdf45d14f6a36a8f783548b1a,GPT-5 announced in Q3 2024?,No,closed,2024-04-02T15:55:21.907Z,2024-09-30T12:00:00Z,2024-10-01T10:58:38Z,354246.427628,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-final-global-heat-increase-be-1pt13-or-greater-for-2023,2023-global-heat-increase,0x1e77eb99e2bcc6d0c5b4931744780af128b8ddd8090a8673870f09bef4e56db3,Will the final global heat increase be 1.13 or greater for 2023?,Yes,closed,2023-09-18T20:24:00.847Z,2023-12-31T00:00:00Z,2024-01-12T17:58:55Z,353862.165546,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,nvidia-largest-company-by-june-30,nvidia-largest-company-by-june-30,0x952c3d735eafb83572409eb071011f9f8fc51f365a387b9f48600a92f6f2eb83,NVIDIA largest company before June 15?,No,closed,2024-06-05T17:50:17.843Z,2024-06-14T12:00:00Z,2024-06-14T22:13:40Z,352823.435588,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-us-ban-sharing-deepfake-nudes-in-2024,will-the-us-ban-sharing-deepfake-nudes-in-2024,0xa2374854b33dcfcf8acc8cd5923a4825abcf981987b47603aa8265c208f314d6,Will the US ban sharing deepfake nudes in 2024?,No,closed,2024-01-28T01:06:31.054Z,2024-12-31T00:00:00Z,2025-01-01T07:42:04Z,349344.256648003,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-final-global-heat-increase-be-1pt11-or-greater-for-2023,2023-global-heat-increase,0x6253d1d844e57417f89d8a7023600d6f29f71623ac15ad90c2a7ae159c2332e5,Will the final global heat increase be 1.11 or greater for 2023?,Yes,closed,2023-08-25T20:56:03.317Z,2023-12-31T00:00:00Z,2024-01-12T18:14:23Z,329085.948081,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,2024-december-hottest-on-record,2024-december-hottest-on-record,0x386cf9745ac46d25fdbc88fe0110648a0487879b5c199969e0fe6826eca76c99,2024 December hottest on record?,No,closed,2024-12-02T22:54:09.717Z,2024-12-31T12:00:00Z,2025-01-10T18:28:24Z,326923.521931,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-november-2024-temperature-increase-be-between-1pt25-1pt29c,november-2024-temperature-increase-c,0xf873b562a57f806b34aa30ecbcf37d61462bbf819e5fa5f2a04fe202bc1bca77,Will the November 2024 temperature increase be between 1.25-1.29°C?,No,closed,2024-11-06T18:54:29.238038Z,2024-11-30T12:00:00Z,2024-12-10T19:17:15Z,308545.825066,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-final-global-heat-increase-be-1pt08-or-greater-for-2023,2023-global-heat-increase,0x296dee9af41489382d3870cbeed17487bca3802053d797dd02e9c11dea65c80d,Will the final global heat increase be 1.08 or greater for 2023?,Yes,closed,2023-08-18T21:44:02.895Z,2023-12-31T00:00:00Z,2024-01-12T20:01:49Z,307850.038353,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-final-global-heat-increase-be-1pt05-or-greater-for-2023,2023-global-heat-increase,0x48c6a6b13ea89b16645a8b2f5c9828220895359f4348fa74407cb65eef61f0e2,Will the final global heat increase be 1.05 or greater for 2023?,Yes,closed,2023-08-18T21:43:39.804Z,2023-12-30T00:00:00Z,2024-01-12T19:31:13Z,307566.53810700006,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-five-or-more-spacex-starship-launches-successfully-reach-outer-space-in-2024,how-many-spacex-starship-launches-reach-space-in-2024,0xefc3ed55ea013e7f75ad53fa9670d704dba5428417d38a37232092f60ace44fd,Will five or more SpaceX Starship launches successfully reach outer space in 2024?,No,closed,2024-03-20T22:17:26.233Z,2024-12-31T12:00:00Z,2025-01-01T12:32:07Z,286410.217119,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,megaquake-in-december,megaquake-in-december,0x7538613994b9414f1922fb33f2efbaee49f388422b5620e66d4b27eb684bf07c,Megaquake in December?,No,closed,2024-12-03T18:21:38.225323Z,2024-12-31T12:00:00Z,2025-01-01T09:36:30Z,286208.249828,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,tiktok-banned-in-the-us-by-june-30,tiktok-banned-in-the-us-by-june-30,0x250e109b00760ba0b569e11d90c813a7b45ad36e56e1c73ceed9430d4688b1a7,TikTok banned in the US by June 30?,No,closed,2023-12-27T01:27:42.119Z,2024-06-29T00:00:00Z,2024-07-01T06:40:43Z,284782.156421,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,10-monkeypox-cases-in-us-in-2024,10-monkeypox-cases-in-us-in-2024,0x7e240fd72255d515dd2be2a8a6bfb3d1db198c51c0d84fb764b4b83a9b83171c,10+ monkeypox cases in US in 2024?,No,closed,2024-11-19T21:19:42.364Z,2024-12-31T12:00:00Z,2025-01-01T09:31:02Z,276382.164970001,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
